"widespread","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Tính từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>phổ biến, lan rộng</div>","(unknown)"
"widespread","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Tính từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>phổ biến, lan rộng</div>","(unknown)"
"abandon","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Động từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>bỏ, từ bỏ, ruồng bỏ</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>bỏ lại</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>bỏ hẳn, từ bỏ hẳn, hủy bỏ (nhất là cái gì đã bắt đầu)</div><div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Danh từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>sự phóng túng, sự buông thả</div>","(unknown)"
"abstract","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Tính từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>trừu tượng</div><div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Danh từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>tính trừu tượng, ý trừu tượng</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>tác phẩm nghệ thuật trừu tượng</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>bản tóm tắt (một cuốn sách …)</div><div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Động từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>tách ra, chiết ra</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>tóm lược (một cuốn sách …)</div>","(unknown)"
"academy","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Danh từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>học viện</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>(ở Scotland) trường trung học</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>(thường Academy) Viện Hàn Lâm</div>","(unknown)"
"access","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Danh từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>lối vào, cửa vào</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>sự đến gần; sự lui tới; cơ hội đến gần, quyền lui tới</div><div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Động từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>truy nhập (máy điện toán)</div>","(unknown)"
"accommodate","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Động từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>chứa được, có đủ chỗ ở cho</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>điều tiết, điều chỉnh cho phù hợp</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>cung cấp, cấp cho</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>giúp đỡ, làm ơn</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>tính đến, xét đến</div>","(unknown)"
"accompany","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Động từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>đi kèm, hộ tống; đi theo</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>kèm theo</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>đệm (dàn nhạc)</div>","(unknown)"
"accumulate","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Động từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>chồng chất, tích lũy</div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>tăng về số lượng, tích tụ thêm</div>","(unknown)"
"accurate","<div style='margin-top: 8px'><span style='font-family: Arial; text-align: left; font-size: 25px; color: black;border:1px solid lightgray; padding: 1px; background-color: lightgray'>Tính từ</span></div><div style='margin-top: 3px'><span style='background-color:green; margin-left:1em; margin-right: 4px; display: inline-block; height: 17px'>&nbsp</span>chính xác, đúng đắn</div>","(unknown)"
